Word,Level,Category,Details
button,B1,clothes,/american-english/words/usdetail/721
collar,B1,clothes,/american-english/words/usdetail/1001
badge,B2,clothes,/american-english/words/usdetail/424
bikini,B2,clothes,/american-english/words/usdetail/537
bra,B2,clothes,/american-english/words/usdetail/623
cardigan,B2,clothes,/american-english/words/usdetail/779
answer,A1,communication,/american-english/words/usdetail/246
capital letter,A2,communication,/american-english/words/usdetail/769
card,A2,communication,/american-english/words/usdetail/777
check,A2,communication,/american-english/words/usdetail/876
accent,B1,communication,/american-english/words/usdetail/26
alarm,B1,communication,/american-english/words/usdetail/152
alphabet,B1,communication,/american-english/words/usdetail/180
brochure,B1,communication,/american-english/words/usdetail/668
call,B1,communication,/american-english/words/usdetail/741
card,B1,communication,/american-english/words/usdetail/777
certificate,B1,communication,/american-english/words/usdetail/845
accent,B2,communication,/american-english/words/usdetail/26
account,B2,communication,/american-english/words/usdetail/44
apostrophe,B2,communication,/american-english/words/usdetail/270
arrow,B2,communication,/american-english/words/usdetail/319
ban,B2,communication,/american-english/words/usdetail/440
booklet,B2,communication,/american-english/words/usdetail/596
chart,B2,communication,/american-english/words/usdetail/870
colon,B2,communication,/american-english/words/usdetail/1008
character,C1,communication,/american-english/words/usdetail/862
claim,C1,communication,/american-english/words/usdetail/929
appeal,C2,communication,/american-english/words/usdetail/274
channel,C2,communication,/american-english/words/usdetail/857
clich矇,C2,communication,/american-english/words/usdetail/948
advice,A2,communication,/american-english/words/usdetail/112
blame,B2,communication,/american-english/words/usdetail/556
abuse,C2,communication,/american-english/words/usdetail/22
chat,A2,communication,/american-english/words/usdetail/872
apology,B1,communication,/american-english/words/usdetail/269
code,B2,communication,/american-english/words/usdetail/987
attack,C2,communication,/american-english/words/usdetail/369
answer,A2,communication,/american-english/words/usdetail/246
chat,A2,communication,/american-english/words/usdetail/872
argue,B1,communication,/american-english/words/usdetail/303
check,B2,communication,/american-english/words/usdetail/876
cheer,B2,communication,/american-english/words/usdetail/880
appeal,C1,communication,/american-english/words/usdetail/274
ask,A2,communication,/american-english/words/usdetail/330
add,B1,communication,/american-english/words/usdetail/75
announce,B1,communication,/american-english/words/usdetail/236
approve,B1,communication,/american-english/words/usdetail/292
blame,B1,communication,/american-english/words/usdetail/556
amuse,B2,communication,/american-english/words/usdetail/211
assume,B2,communication,/american-english/words/usdetail/352
assure,B2,communication,/american-english/words/usdetail/355
call,B2,communication,/american-english/words/usdetail/741
capture,B2,communication,/american-english/words/usdetail/771
challenge,B2,communication,/american-english/words/usdetail/848
claim,B2,communication,/american-english/words/usdetail/929
attack,C1,communication,/american-english/words/usdetail/369
clarify,C1,communication,/american-english/words/usdetail/932
allege,C2,communication,/american-english/words/usdetail/164
answer,A1,communication,/american-english/words/usdetail/246
ask,A1,communication,/american-english/words/usdetail/330
agree,A2,communication,/american-english/words/usdetail/139
